shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4241511478514,-86.9191448044267,31,7405.27
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4313233751848,-86.9104088491445,26,5871.59
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4308620352067,-86.908106172568,24,5634.83
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4367454610315,-86.9061012212098,20,4779.6
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4308969039259,-86.9103404528106,25,5823.85
0681ab52-b37f-4588-8f96-cb334bd1b466,40.422111327774,-86.9118411488438,36,8233.85
0681ab52-b37f-4588-8f96-cb334bd1b466,40.431381042682,-86.9152556011233,28,6281.84
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4196356487057,-86.900539660486,42,9456.16
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4605071521108,-86.9246057823065,6,1130.09
0681ab52-b37f-4588-8f96-cb334bd1b466,40.421565498207,-86.90325673838,40,9127.32
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4569331083854,-86.9157102355784,11,2261.95
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4327087362235,-86.9058021548869,22,5229.25
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4312214512361,-86.919225270702,29,6618.07
0681ab52-b37f-4588-8f96-cb334bd1b466,40.451639768579,-86.9158389816188,13,2850.29
0681ab52-b37f-4588-8f96-cb334bd1b466,40.431419934715,-86.9131514080257,27,6103.81
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4480509727032,-86.9158242294684,14,3249.08
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4586121713288,-86.9156941423234,10,2075.37
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4241203024459,-86.9178345452448,32,7526.64
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4432189728748,-86.9128845282128,16,3841.59
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4174885402613,-86.8967617688633,43,9855
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4196825873663,-86.8959383306467,46,10228.91
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4604642367639,-86.9300774890231,4,667.44
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4240411772753,-86.9138018437506,33,7874.11
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4239285244899,-86.9122515268476,34,8002.06
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4415533209773,-86.9105268663482,17,4113.64
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4180772851752,-86.8954327342172,45,10045.47
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4389073216264,-86.9076206927073,18,4496.86
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4220120860345,-86.9076595847404,38,8596
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4380141459712,-86.9064861182264,19,4634.91
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4547269913392,-86.9158067951087,12,2507.23
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4308580118929,-86.905743146285,23,5434.96
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4604172981034,-86.9193245124414,8,1576.74
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4273121313639,-86.9192064952377,30,7051.01
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4604307091493,-86.9213857901922,7,1402.46
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4598701274318,-86.9340042432549,2,319.58
0681ab52-b37f-4588-8f96-cb334bd1b466,40.457538,-86.934027,0,0
0681ab52-b37f-4588-8f96-cb334bd1b466,40.4604991054833,-86.9274006442666,5,893.79
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4607378220998,-86.9307171959112,56,11681.58
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4242088153487,-86.9146507629544,11,2028.5
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4196825873663,-86.8959383306467,0,0
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4607512331457,-86.9209888232344,50,10696.8
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4595965420959,-86.9350583514606,58,12074.24
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4389354848227,-86.9074436669018,24,4876.89
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4611924565549,-86.9214810086179,52,10819.22
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.45901,-86.937837,59,12318.04
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4595965420959,-86.935057010356,62,12953.84
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4606627202429,-86.9159583399271,48,10261.28
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4231211795283,-86.9063734654411,7,1270.69
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4326296110529,-86.9057002309382,21,4143.35
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4607203877402,-86.9192011308194,49,10535.52
08ed18d0-6b83-424e-80ed-c8e4c2e9d5f4,40.4513715476615,-86.9118639476218,32,6847.79
